Area,Id,Instalación Pozo,Método de Aplicación,Producto,Lts(Sugerido),Frecuencia,Latitud,Longitud
El Orejano,145,PAD-17 EOR,Continua,CORR20469A,15,1,-37.97837067,-69.23326111
El Orejano,175,PAD-17 EOR,Continua,HSCV10192A,40,0,-37.97837067,-69.23326111
El Orejano,176,PAD-26,Continua,HSCV10192A,50,0,-37.98835754,-69.21338654
El Orejano,217,PAD-22,Continua,HSCV10192A,60,0,-38.02169037,-69.21574402
El Orejano,825,PAD-22,Continua,CORR20469A,12,1,-38.02169037,-69.21574402
El Orejano,218,PAD-21,Continua,HSCV10192A,60,1,-38.00174713,-69.20149994
El Orejano,824,PAD-21,Continua,CORR20469A,12,1,-38.00174713,-69.20149994
El Orejano,767,SEP Flash USP2 EOR,Continua,SCAL16359A,13,0,-37.97183609,-69.18649292
El Orejano,880,SCC-003,Continua,CORR20469A,12,0,-37.9808197,-69.21175385
El Orejano,870,SCSR-002,Continua,CORR20469A,10,0,-37.98540115,-69.2179184
El Orejano,6129,PAD-34-EOR,Continua,HSCV10192A,50,0,-38.00141907,-69.19766235
ZONA 4,690,USP-1 Media Gasoducto,Continua,CORR20469A,30,1,-38.48539352,-68.62190247
ZONA 4,696,YPF.Nq.LLL-0277a,Continua,CORR20469A,3,1,-38.48655319,-68.64950562
ZONA 4,700,YPF.Nq.LLL-0268[00]a,Continua,CORR20469A,3,1,-38.4704895,-68.64335632
ZONA 4,274,YPF.Nq.LLL-149,Continua,CORR20469A,3,1,-38.48727417,-68.64950562
ZONA 4,6901,YPF.Nq.LLL-0278a,Continua,FOAM25004A,45,0,-38.48657608,-68.64949799
ZONA 4,277,YPF.Nq.LLL-107,Continua,CORR20469A,3,1,-38.48479843,-68.61295319
ZONA 4,278,YPF.Nq.LLL-105,Continua,CORR20469A,3,1,-38.4736557,-68.63299561
ZONA 4,294,YPF.Nq.LLL-0291a,Continua,CORR20469A,3,1,-38.47297669,-68.60015869
ZONA 4,328,YPF.Nq.LLL-0300ah,Continua,FOAM20628A,45,1,-38.47297669,-68.60015869
ZONA 4,1177,LLL-149 Col.Aux.Campo A,Continua,CORR20469A,15,0,-38.48720551,-68.64877319
ZONA 4,3056,USP-1 Gas Combustible,Continua,HYDT14900A,30,0,-38.48492813,-68.62227631
ZONA 4,671,USP-2 (oleoducto),Continua,BIOC10350NR,3,1,-38.45540237,-68.63562012
ZONA 4,1629,USP-2 Baja Gasoducto,Continua,CORR20469A,30,0,-38.45540237,-68.63562012
ZONA 3,295,YPF.Nq.LLL.a-0013[01]a,Continua,CORR20469A,3,1,-38.43281937,-68.67723846
ZONA 3,649,YPF.Nq.LLL.a-14,Continua,CORR20469A,5,1,-38.4484787,-68.69239044
ZONA 3,686,YPF.Nq.LLL-182,Continua,CORR20469A,3,1,-38.48170853,-68.68343353
ZONA 3,699,YPF.Nq.LLL-0264[00]a,Continua,CORR20469A,3,1,-38.47277451,-68.67657471
ZONA 3,271,YPF.Nq.LLL-193,Continua,CORR20469A,3,1,-38.49369431,-68.67855072
ZONA 3,283,YPF.Nq.LLL-0217a,Continua,CORR20469A,8,1,-38.48837662,-68.71752167
ZONA 3,330,YPF.Nq.LLL-0217a,Continua,FOAM20138AR,20,1,-38.48837662,-68.71752167
ZONA 3,292,YPF.Nq.LLL.a-18,Continua,CORR20469A,3,1,-38.47097778,-68.70350647
ZONA 3,293,YPF.Nq.LLL-195,Continua,CORR20469A,3,1,-38.49754715,-68.70928955
ZONA 3,300,YPF.Nq.LLL-199,Continua,CORR20469A,3,1,-38.49538422,-68.69411469
Sierra Barrosa,618,YPF.Nq.ASL.x-0001(h)[01]a,Continua,PARA10231A,30,1,-38.69734192,-68.86589813
Sierra Barrosa,586,YPF.Nq.Laj-0215(d)[00]a,Continua,FOAM20138AR,50,1,-38.75738144,-68.90571594
Sierra Barrosa,380,Casquete Sda Sep 12105,Continua,CORR20469A,9,1,-38.74978256,-68.91510773
Sierra Barrosa,561,Casquete Sda Sep 12105,Continua,Gyptron™ T-356,6,1,-38.74978256,-68.91510773
Sierra Barrosa,382,Sda Sep. Casquete V 12103,Continua,CORR20469A,9,1,-38.74977875,-68.91509247
Sierra Barrosa,385,Colector 1 Casquete,Continua,CORR20469A,13,1,-38.74978256,-68.91510773
Sierra Barrosa,386,Colector 2 Casquete,Continua,CORR20469A,13,1,-38.74977112,-68.91508484
Sierra Barrosa,1480,Sda Sep. Casquete V12104,Continua,CORR20469A,9,0,-38.74977875,-68.91509247
Sierra Barrosa,1479,Salida Sep V12104,Continua,Gyptron™ T-356,5,0,-38.74977112,-68.91508484
Sierra Barrosa,6499,Sda Descarga Compresora,Continua,HYDT18777A,40,0,-38.74977875,-68.91509247
Sierra Barrosa,1473,YPF.Nq.AT-0190(d)[00]a,Continua,SICI11074A,4,0,-38.72857285,-68.87010956
Planta AT-SB,387,Salida TK Skimmer,Continua,AFMR03349A,48,1,-38.75952911,-68.83854675
Planta AT-SB,401,PTA AT Ingreso TK Skimmer,Continua,CLAR16036A,96,1,-38.75949478,-68.83853912
Planta AT-SB,558,PTA AT Eda Tk-2535,Continua,SCAL16411A,62,1,-38.75952148,-68.83855438
Aguada Toledo,659,YPF.Nq.AT-83,Continua,SICI11074A,2,1,-38.75455856,-68.87384033
Aguada Toledo,1471,YPF.Nq.AT-0175a(d),Continua,SICI11074A,10,0,-38.77319717,-68.80664825
Loma Campana,856,PTC Salida Agua FW,Continua,CLAR08158A,48,0,-38.35528565,-68.71387482
Loma Campana,99,PTC Sda Acueducto,Continua,SCAL16359A,33,1,-38.35577011,-68.71329498
Loma Campana,2841,PTC LC Sda Oleo,Continua,FLOW18012,350,0,-38.35531616,-68.71424103
